3
0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.400	10.000	10.000	21
0.000	0.000	0.000	0.000	25.000
0.500	0.000	0.000	0.020	25.000
1.000	0.000	0.000	0.040	25.000
1.500	0.000	0.000	0.060	25.000
2.000	0.000	0.000	0.080	25.000
2.500	0.000	0.000	0.100	25.000
3.000	0.000	0.000	0.120	25.000
3.500	0.000	0.000	0.140	25.000
4.000	0.000	0.000	0.160	25.000
4.500	0.000	0.000	0.180	25.000
5.000	0.000	0.000	0.200	25.000
5.500	0.000	0.000	0.220	25.000
6.000	0.000	0.000	0.240	25.000
6.500	0.000	0.000	0.260	25.000
7.000	0.000	0.000	0.280	25.000
7.500	0.000	0.000	0.300	25.000
8.000	0.000	0.000	0.320	25.000
8.500	0.000	0.000	0.340	25.000
9.000	0.000	0.000	0.360	25.000
9.500	0.000	0.000	0.380	25.000
10.000	0.000	0.000	0.400	25.000

0.000	0.000	0.000	0.000	100.000	3.700	0.000	4.003	100.087	200.000	201
0.000	0.000	0.000	0.000	25.000
0.500	0.000	0.001	0.020	25.000
1.001	0.001	0.002	0.040	25.000
1.501	0.002	0.002	0.060	25.000
2.000	0.003	0.003	0.080	25.000
2.501	0.005	0.004	0.100	25.000
3.000	0.007	0.005	0.120	25.000
3.499	0.010	0.005	0.140	25.000
3.999	0.012	0.006	0.160	25.000
4.500	0.016	0.007	0.180	25.000
4.999	0.020	0.008	0.200	25.000
5.499	0.024	0.009	0.220	25.000
5.999	0.028	0.009	0.240	25.000
6.499	0.033	0.010	0.260	25.000
6.999	0.038	0.011	0.280	25.000
7.499	0.044	0.012	0.300	25.000
7.999	0.050	0.013	0.320	25.000
8.499	0.057	0.013	0.340	25.000
8.999	0.064	0.014	0.360	25.000
9.499	0.071	0.015	0.380	25.000
9.999	0.079	0.016	0.400	25.000
10.499	0.087	0.017	0.420	25.000
10.999	0.096	0.018	0.440	25.000
11.499	0.105	0.018	0.460	25.000
11.999	0.114	0.019	0.480	25.000
12.499	0.124	0.020	0.500	25.000
12.999	0.134	0.021	0.520	25.000
13.498	0.145	0.022	0.540	25.000
13.998	0.156	0.022	0.560	25.000
14.499	0.167	0.023	0.580	25.000
14.999	0.179	0.024	0.600	25.000
15.498	0.191	0.025	0.620	25.000
15.998	0.204	0.026	0.640	25.000
16.498	0.217	0.027	0.660	25.000
16.998	0.231	0.027	0.680	25.000
17.498	0.244	0.028	0.700	25.000
17.997	0.259	0.029	0.720	25.000
18.498	0.273	0.030	0.740	25.000
18.998	0.289	0.031	0.760	25.000
19.497	0.304	0.031	0.780	25.000
19.997	0.320	0.032	0.800	25.000
20.498	0.336	0.033	0.820	25.000
20.997	0.353	0.034	0.840	25.000
21.496	0.370	0.035	0.860	25.000
21.996	0.387	0.035	0.880	25.000
22.496	0.405	0.036	0.900	25.000
22.995	0.424	0.037	0.920	25.000
23.495	0.442	0.038	0.940	25.000
23.995	0.461	0.038	0.960	25.000
24.494	0.481	0.039	0.980	25.000
24.994	0.500	0.040	1.000	25.000
25.494	0.521	0.041	1.020	25.000
25.993	0.541	0.041	1.040	25.000
26.492	0.562	0.042	1.060	25.000
26.993	0.583	0.043	1.080	25.000
27.492	0.605	0.044	1.100	25.000
27.991	0.627	0.044	1.120	25.000
28.491	0.649	0.045	1.140	25.000
28.990	0.672	0.046	1.160	25.000
29.490	0.695	0.046	1.180	25.000
29.990	0.718	0.047	1.200	25.000
30.489	0.742	0.048	1.220	25.000
30.989	0.766	0.048	1.240	25.000
31.488	0.790	0.049	1.260	25.000
31.988	0.814	0.050	1.280	25.000
32.486	0.839	0.050	1.300	25.000
32.986	0.864	0.051	1.320	25.000
33.485	0.890	0.051	1.340	25.000
33.984	0.916	0.052	1.360	25.000
34.483	0.942	0.052	1.380	25.000
34.983	0.968	0.053	1.400	25.000
